GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
project-management-backend,com.project_manager_tool.backend.models,User,14,31,0,0,6,13,4,9,4,9
project-management-backend,com.project_manager_tool.backend.models,Task.Priority,0,21,0,0,0,2,0,1,0,1
project-management-backend,com.project_manager_tool.backend.models,Notification,4,37,0,0,2,15,1,10,1,10
project-management-backend,com.project_manager_tool.backend.models,ProjectMember.Role,0,21,0,0,0,4,0,1,0,1
project-management-backend,com.project_manager_tool.backend.models,ProjectMember,0,31,0,0,0,13,0,9,0,9
project-management-backend,com.project_manager_tool.backend.models,Task.Status,0,21,0,0,0,2,0,1,0,1
project-management-backend,com.project_manager_tool.backend.models,Project,0,50,0,0,0,20,0,13,0,13
project-management-backend,com.project_manager_tool.backend.models,Task,3,56,0,0,1,24,1,16,1,16
project-management-backend,com.project_manager_tool.backend,ProjectManagementBackendApplication,5,3,0,0,2,1,1,1,1,1
project-management-backend,com.project_manager_tool.backend.controllers,UserController,11,43,0,0,3,11,1,7,1,7
project-management-backend,com.project_manager_tool.backend.controllers,NotificationController,0,29,0,0,0,10,0,6,0,6
project-management-backend,com.project_manager_tool.backend.controllers,ProjectController,0,41,0,0,0,9,0,7,0,7
project-management-backend,com.project_manager_tool.backend.controllers,TaskController,0,30,0,0,0,8,0,5,0,5
project-management-backend,com.project_manager_tool.backend.dto,UserMapper,0,60,0,6,0,20,0,7,0,4
project-management-backend,com.project_manager_tool.backend.dto,TaskDto,19,40,0,0,7,18,6,11,6,11
project-management-backend,com.project_manager_tool.backend.dto,ProjectDto,0,45,0,0,0,19,0,13,0,13
project-management-backend,com.project_manager_tool.backend.dto,ProjectMapper,0,154,0,8,0,38,0,9,0,5
project-management-backend,com.project_manager_tool.backend.dto,ProjectSummaryDto,0,31,0,0,0,13,0,9,0,9
project-management-backend,com.project_manager_tool.backend.dto,ProjectMemberDto,3,21,0,0,1,9,1,6,1,6
project-management-backend,com.project_manager_tool.backend.dto,UserDto,0,24,0,0,0,10,0,7,0,7
project-management-backend,com.project_manager_tool.backend.exceptions,GlobalExceptionHandler,17,3,0,0,3,1,3,1,3,1
project-management-backend,com.project_manager_tool.backend.exceptions,EntityDontExistException,0,4,0,0,0,2,0,1,0,1
project-management-backend,com.project_manager_tool.backend.config,WebConfig,0,71,0,0,0,9,0,2,0,2
project-management-backend,com.project_manager_tool.backend.dto.request,ProjectMemberCreation,0,17,0,0,0,7,0,5,0,5
project-management-backend,com.project_manager_tool.backend.dto.request,UserRegister,24,0,0,0,10,0,7,0,7,0
project-management-backend,com.project_manager_tool.backend.dto.request,ProjectUpdateRequestDto,0,17,0,0,0,5,0,5,0,5
project-management-backend,com.project_manager_tool.backend.dto.request,TaskRequestDto,0,38,0,0,0,16,0,11,0,11
project-management-backend,com.project_manager_tool.backend.dto.request,UserLogin,0,17,0,0,0,7,0,5,0,5
project-management-backend,com.project_manager_tool.backend.services.impl,TaskServiceImpl,84,191,13,9,7,49,19,5,8,5
project-management-backend,com.project_manager_tool.backend.services.impl,ProjectServiceImpl,55,358,7,23,6,82,13,25,6,17
project-management-backend,com.project_manager_tool.backend.services.impl,NotificationServiceImpl,40,57,2,0,7,17,5,5,4,5
project-management-backend,com.project_manager_tool.backend.services.impl,ProjectMemberServiceImpl,0,3,0,0,0,1,0,1,0,1
project-management-backend,com.project_manager_tool.backend.services.impl,UserServiceImpl,51,64,7,5,14,13,7,7,3,5
